prompt,response
"I have zero knowledge of Excel and belong to a non-technical
 background. Can I take this course?","Yes, this is the perfect course for anyone who has never worked on excel and wants to build a career in the IT/Data Analytics industry or just wants to perform better in their current job or business using data."
What are the things I need to know before starting this course?,This course is for absolute beginners hence you do not need any specific skills other than basic familiarity with computers
What is different in this course compared to hundreds of courses on the internet and free tutorials on YouTube?,Most of the courses available on the internet teach you how to build x & y without any business context and do not prepare you for real business world problem-solving. This course is rather an experience in which you will learn Excel by solving real-life use cases in an imaginary company called AtliQ Hardware. The tutorials are very easy to understand and also have a lot of fun elements into them so that you don’t get bored ??
Can I add this course to my resume?,Yes. Absolutely you can mention the AtliQ Hardware project experience in your resume with the relevant skills that you will learn from this course
I’m not sure if this course is good enough for me to invest some money. What can I do?,"Don’t worry. Many videos in this course are free so watch them to get an idea of the quality of teaching. Dhaval Patel (the course instructor) runs a popular data science YouTube channel called Codebasics. On that, you can watch his videos and read comments to get an idea of his teaching style"
What dataset is used in this course? Is it some toy dataset or something that mimics a real-world problem?,"For initial basics, we have used a toy dataset of movies but for advanced concepts, we used a dataset that is crafted to mimic the real business world by consolidating our years of experience and the FMCG industry. That dataset contains more than 1 million records."
"Once purchased, is this course available for lifetime access?",Yes
How can I get help if I have a doubt and need support?,We have an active discord server where you can post your question and most of the time you will get an answer in a reasonable time frame.
I have never done programming and belong to a non-technical background. Can I take this course?,"Yes, this is the perfect course for anyone who has never done coding and wants to build a career in the IT/Data Analytics industry or just wants to perform better in their current job or business using data."
"
I don’t have a laptop, can I take this course?",We recommend learning by doing and therefore you need to have a laptop or a PC (at least 4 GB ram).
Will the course help me in PL - 300 Microsoft exam preparation?,"Yes, this course will certainly help because we cover the majority of the skills measured in the PL - 300 exam in this course. However, please be informed that this course focuses on Job ready aspects and not on all aspects required to clear PL - 300 exam. In addition to this course, you might need to visit the official learning material designed by Microsoft which is available for free -> https://docs.microsoft.com/en-us/certifications/exams/pl-300?tab=tab-learning-paths"
Will the course be upgraded when there are new features in Power BI?,"Yes, the course will be upgraded periodically based on the new features in Power BI, and learners who have already bought this course will have free access to the upgrades."
"I use tableau, can I take this course?","Yes, you will still benefit from the concepts outside the tools that are discussed in this course such as business context, problem solving, project management tools, etc."
"
Power BI or Tableau which one is better?","This is a contextual question. If you are talking about a pure visualization tool Tableau is slightly better. Data connectors, modeling and transformation features are available in both. However, factually speaking Power BI is cheaper and offers tighter integration with the Microsoft environment. Since most companies use excel & Microsoft tools they start with Power BI or move towards Power BI for seamless integration with other Microsoft tools (called as Power platform). This makes the job openings grow at a much higher rate on Power BI and Power Platform. Also, Power BI has been leading the Gartner’s magic quadrant in BI for the last few years as the industry leader."
What dataset is used in this course? Is it some Toy dataset or something that mimics a real-world business problem?,"The dataset used in this course is crafted from scratch to mimic the real business world by consolidating our years of experience. The dataset not just contains more than a million rows but also covers multiple facets of business data such as sales, finance, targets, forecasts, products, etc."
Does Power BI work in Mac OS/Ubuntu?,"Power BI desktop works only in Windows OS. Please look into the system requirements section on this page. However, you can use a virtual machine to install and work with Power BI in other Operating systems."
What business concepts and domains are covered in this course?,"We have covered the core functions such as Sales, Marketing, Finance, and Supply Chain with their fundamentals related to this course. The domain you will learn in this course is consumer goods which is projected to have more openings and high data analytics requirements at least until 2030."
Will this course guarantee me a job?,"We created a much lighter version of this course on YouTube available for free (click this link) and many people gave us feedback that they were able to fetch jobs (see testimonials). Now this paid course is at least 5x better than the YouTube course which gives us ample confidence that you will be able to get a job. However, we want to be honest and do not want to make any impractical promises! Our guarantee is to prepare you for the job market by teaching the most relevant skills, knowledge & timeless principles good enough to fetch the job."
"Can I add this course to my resume? If Yes, how?","Absolutely, we have a section in this course explaining how you can add the learnings from this course in your resume that will appeal to the hiring team."
Is there any prerequisite for taking this course?,"The only prerequisite is that you need to have a functional laptop with at least 4GB ram, internet connection and a thrill to learn data analysis."
What is different in this course from thousands of other Power BI courses available online?,"Most of the courses available on the internet teach you how to build x & y without any business context and do not prepare you for the real business world. This course is rather an experience in which you will learn how to use Power BI & other non-technical skills to solve a real-life business problem using analytics. Here you focus on solving a business problem and in that process learn how Power BI can be used as a tool. This is how you will do the work when you start working as a data analyst/ Business analyst/ Power BI developer in the industry. This course will prepare you for not just fetching the job but, shine in it & grow further."
"I already know basic Power BI, what benefit do I get by taking this course?","This course is taught through a true end-to-end project in a Consumer goods company involving all the steps mimicking the real business environment, so you will learn how to execute end-to-end projects Power BI projects successfully along with the business fundamentals. You will learn a lot of extra things such as Project management tools, effective communication techniques & organizational nuances."
How to install power pivot if its not available in system?,"Follow this thread for instructions - https://support.microsoft.com/en-us/office/start-the-power-pivot-add-in-for-excel-a891a66d-36e3-43fc-81e8-fc4798f39ea8
If it doesn't show in the ribbon then go to ""insert"" tab. You will be able to see pivot table option there."
"Hi all, could someone please help me understand what I am writing wrong in this code?","Go to ChatGPT (https://chat.openai.com/) and type this command

Debug me this code ( copy paste your code)


Why I am suggesting this way is once you learn it you will love it. 
And it will be SUPER USEFUL in your career when you get a data analyst jobs. Companies love folks who are capable of finding their answers on their own (Using Google, ChatGPT etc.)"
"I am getting this error, what is wrong?","Go to ChatGPT (https://chat.openai.com/) and type this command

Debug me this code ( copy paste your code) and also provide the error you are getting


Why I am suggesting this way is once you learn it you will love it. 
And it will be SUPER USEFUL in your career when you get a data analyst jobs. Companies love folks who are capable of finding their answers on their own (Using Google, ChatGPT etc.)"
"Hey all, I've been trying this for past one hour but not working. 
I am getting this error in my SQL code, what could be wrong?","Go to ChatGPT (https://chat.openai.com/) and type this command

Debug me this code ( copy paste your code) and also provide the error you are getting


Why I am suggesting this way is once you learn it you will love it. 
And it will be SUPER USEFUL in your career when you get a data analyst jobs. Companies love folks who are capable of finding their answers on their own (Using Google, ChatGPT etc.)"
when I am entering the index match formula in the cell outside the table it is working and when i enter the same formula inside the table cell it is showing a SPILL! error ..why?,"Go to ChatGPT (https://chat.openai.com/) and ask this same question.

Why I am suggesting this way is once you learn it you will love it. 
And it will be SUPER USEFUL in your career when you get a data analyst jobs. Companies love folks who are capable of finding their answers on their own (Using Google, ChatGPT etc.)"
I am not allowing to post doubt in the discord group,"Sure I can guide you

Go to the 'click-here-to-ask-questions' section and verify yourself here by clicking on the checkmark."
How can I use PowerBI on my Mac system?,"Hi

You can use VirtualBox to create a virtual machine and install Windows on it. This will allow you to run Power BI and Excel on your Mac.

If you're not familiar with setting up a virtual machine, there are many resources available on YouTube that can guide you through the process. Simply search for ""installing virtual machines"" and you'll find plenty of helpful videos.

Best of luck with your studies!"
"In sales analytics chapter , when creating pivot table a blank column is getting added. How to solve this?","Hi, please check these instructions.

Option - 1:
If you are from India, you can change your system default date format to India, then restart your computer once. and see, whether it fixed your issue or not. Else you can follow the second option.

Option - 2:

1. Reason for the Issue:
In the dim_date table, the date is in dd/mm/yyyy format. Whereas the fact table is in mm/dd/yyyy format. Because of the different formats, causing the issue. Power BI/Excel will likely use your system's default date format whenever you open any file. This could cause the date format issue - dd/mm/yyyy --- mm/dd/yyyy. Please look for this whenever you face issues with values mismatch.

2. Steps to resolve:
    1. Change the data type of the date column to ‘Date’ if it is in ‘Date/Time’ format. Skip this step if it is already in ‘Date’ format.
    2. Create a new custom column in the fact_sales_monthly table. you can name it date_modified or any other name accordingly.
    Formula
    = Date.ToText([date],""yyyy"") & ""/"" & Text.PadStart(Text.From(Date.Day([date])),2,""0"") & ""/"" & Text.PadStart(Text.From(Date.Month([date])),2,""0"")
    3. change the data type of the above-created column to date.
    4. In Power Pivot, Go to the 'Manage' tab and select the 'Diagram' view. Map the date column in the 'dim_date' table with the newly created column in the 'fact_sales_monthly' table. Make sure to delete the previous relationship (date from fact_sales_month)."
"why row and value option is not showing for the visual in PowerBI , any setting need to be change, please let me know?",You have selected Table Visual instead of Matrix. That is why you are seeing a different interface.
"Hello, I have a issue to calculate WHF%. Can you give me numbers for checklist and debbuging?","Hello 

Please confirm whether you got these values right!

Before Data Cleaning Stats:
Number of rows: 6336
Number of distinct employees: 198
Number of distinct employee_id: 106

After Data Cleaning Stats:
Number of rows: 6208
Number of distinct employees: 99
Number of distinct employee_id: 74

If these values are not matching, I highly suggest doing the data-cleaning steps correctly (mainly removing duplicates)"
How do become good and comfortable with SQL?,"To master SQL, we need to practice it every day and keep in touch with it all the time.

---
Here are some references where you can practice daily. First start with easy problems, then medium, and finally hard questions. Don't directly jump into Hard questions.
- Hacker rank: https://www.hackerrank.com/domains/sql
- Leetcode: https://leetcode.com/problemset/database/
- Datalemur: https://datalemur.com/
---

I have created a LinkedIn post attaching some youtube resources which discussed interview-related problems and help to solve interesting questions. check out this too.
Link:  https://www.linkedin.com/posts/kirandeepmarala_sql-careers-data-activity-7012258071334854656-jRgf?utm_source=share&utm_medium=member_desktop
---

Also, I highly recommend participating in the Codebasics SQL challenge, which has been conducted in the past, as it can help you brush up on your skills and provide an opportunity to test your knowledge further
Link:  https://codebasics.io/challenge/codebasics-resume-project-challenge  (Challenge #4)"
Why SUM() function not working in my Excel?,"Because of having  #N/A values, the SUM() function is not working as expected.

so we need to handle this case by filling the #N/A(not available) with 0.

Thread for further explanation: https://discord.com/channels/1090613684163850280/1107909641989525524/1107926537988227073"
What is the difference between Business Analyst Vs Data Analyst,"While both business analysts and data analysts work with data, they have different focuses and responsibilities. Here are some key distinctions:

1. Focus: Business analysts focus on the business side of things, such as business processes, workflows, and strategies. They use data analysis to identify business problems, opportunities, and solutions. Data analysts, on the other hand, focus on the data itself. They collect, process, and analyze data to extract insights and make data-driven decisions.
2. Skill set: Business analysts need to have strong communication, problem-solving, and strategic thinking skills, as they often work closely with stakeholders and decision-makers to identify business needs and develop solutions. They also need to have some knowledge of data analysis, such as data visualization and basic statistical analysis. Data analysts, on the other hand, need to have a strong foundation in data analysis and programming skills, such as SQL, Python, etc. They also need to have a good understanding of data visualization and statistical analysis to derive insights from the data.
3. Tools: Business analysts typically use tools like spreadsheets, business process modeling software, and business intelligence (BI) tools to analyze data and create reports. Data analysts use more advanced tools like statistical software, programming languages, and database management systems to collect, process, and analyze data.
4. Outputs: Business analysts typically produce reports, presentations, and recommendations based on their analysis of the data. Data analysts produce statistical models, visualizations, and reports to help stakeholders understand the data and make informed decisions.

I recommend watching this video by Dhaval sir which explained more details: https://www.youtube.com/watch?v=7sFRpbPKTG4&t=1s"
"Can you state the distinction among the SAMEPERIODLASTYEAR(), PARALLELPERIOD(), and DATEADD() function in Power BI?","
Here is the brief explanation.

SAMEPERIODLASTYEAR() compares the given period with the exact same period of last year as the name suggests. But it has a limitation like King of the chess board - it can go only compare 1 year backward for a given day, month, week, or quarter. If you want to go backward or forward or if you need to go 3 or 6 months/years/days you need to use DATEADD().

DATEADD() is more like the queen of the chessboard. It is very dynamic as it compares a day, month, quarter, year, etc. over any specified no. of time period.

PARALLELPERIOD() works exactly like DATEADD() but there is a minor difference. Parallelperiod() does not work dynamically like DATEADD().

For example, if you use PARALLELPERIOD() to get the previous month's value for dates between 1/5/2023 - 12/5/2023..it will compare these 12 days with the entire previous month of April 2023 (1/4/2023 - 30/4/2023) whereas DATEADD will compare the exact same days (1/4/2023- 12/4/2023).

Likewise, if you use PARALLELPERIOD() to get the previous year's value for dates between 1/1/2023 - 12/5/2023..it will compare this time period with the entire previous year 2022 (1/1/2022 - 31/12/2022) whereas DATEADD will compare the exact same period (1/1/2022- 12/5/2022).

Refer this thread for more info: https://discord.com/channels/1090613684163850280/1106528524023648326
"
My Excel Excel VLookup() showing formula instead of result,"Solution1:

Please check the cell type, if it is 'text', change that to 'general', and once hit enter execute the formula.

Solution2:

The primary reason for this issue is the accidental enabling of the 'show formulas' mode.
 To gain more clarity and resolve the problem, please refer to the following resource: https://exceljet.net/articles/excel-shows-formula-not-result"
I have a doubt regarding Vlookup() giving zero values in Exercise-3.,check this demo video to fix the issue: https://drive.google.com/file/d/1gp0krl2wMN0YhZYja3IKmt59SBsUK7xB/view?usp=share_link
"i am unable to import data from mysql in power bi ,connector issue is coming continuously i have done all steps according to connector pdf still its not resolving please guide",Please refer to this thread: https://discord.com/channels/1090613684163850280/1107992760105054238/1107993007606730802
Do data analysts need to learn database design?,"As a data analyst, it is not typically expected that you would be responsible for creating a database from scratch. However, you may be involved in designing the structure and schema of a database, as well as configuring and populating it with data.

Creating a database usually falls under the purview of a database administrator (DBA) or a data engineer. These roles are focused on the technical aspects of database design, implementation, and maintenance.

As a data analyst, your primary responsibilities would typically include querying and analyzing data within an existing database, creating reports and visualizations to communicate insights, and helping to inform business decisions based on data analysis. However, depending on the organization and the specific role, there may be some overlap or variation in responsibilities."
Can you explain me more about the foreign key?,"A foreign key is a column or set of columns in a table that refers to the primary key of another table. It is used to establish a relationship between two tables in a relational database. The primary key of one table is used as a foreign key in another table to link the data between the tables.

For example, let's say we have two tables in a database: a ""customers"" table and an ""orders"" table. The customer's table has a primary key column called ""customer_id"", and the orders table has a foreign key column called ""customer_id"" that references the ""customer_id"" column in the customer's table.

By establishing this relationship between the two tables, we can ensure that every order in the orders table is associated with a valid customer in the customer's table."
"I'm experiencing an issue where the target value appears the same in every row, and it is incorrect. Can you please help me understand why this is happening?","That is happening because you are pulling ""market"" from wrong table
Pull ""Market"" From dim_market

Check out this thread : https://discord.com/channels/1090613684163850280/1108671672434839562/1108672494958817301"
"Hello Everyone, I am using 2016 excel. So far, I have noticed there are few functions which are not available in 2016 Excel like xlookup, unique etc. is there any option 
available other than buying new updated version ?","Here are some add-in links. Please go through the videos , you will be able to use those functions in your Excel version. 

? UNIQUE function:
?? https://youtu.be/wiCH-YTacKU

?XLOOKUP function: 
?? https://www.youtube.com/watch?v=NWZaM7ZbE3Q
or,
?? https://www.youtube.com/watch?v=e60-J_u-K7o

?? https://www.youtube.com/watch?v=TUTMfhCS62M"
Can someone help me to create same chart exactly like this. I have created more than half of it. I want to add quadrant labels. Low medium high on x & y axis,Check this thread for instructions : https://discord.com/channels/1090613684163850280/1107745807848980490/1107746891418058762
whenever I am loading fact_sales_monthly table in Power query not all columns are visible,"Have you taken SQL course in Codebasics first ?
If yes, delete the existing databases in MySQL workbench and re-import again. After this go to 'Home' tab in Power Query and click on Refresh button and see if it works any.

Check this reference too: https://discordapp.com/channels/1090613684163850280/1111180401478746163/1111190746507251732
"
The fact_sales_monthly table seems to be missing. Could you please provide information about why it is not available?,Delete the existing databases in MySQL workbench and re-import again. After this go to 'Home' tab in Power Query and click on Refresh button and see if it works any.
"I am getting this error in PowerBI, 

""there are pending changes in your queries that have havent been applied""

Any suggestions to solve it?","To resolve the annoying message, follow these steps:
1. Access Power Query by selecting 'Transform Data.'
2. Click on 'Refresh Preview' and then choose 'Refresh All' to run a refresh on the tables.
3. After completing the refresh, select 'Close & Apply' to save the changes.
By following these steps, the annoying message should disappear.

Check this reference for further details: https://community.fabric.microsoft.com/t5/Desktop/quot-There-are-pending-changes-in-your-queries-that-haven-t-been/td-p/1142424
Hope this helps!"
"I am encountering an error with the pre-invoice discount where I am receiving ""0"" values. Could you assist me in resolving this issue?","To troubleshoot the issue, please consider the following steps:

1. Verify your data modeling by accessing ""Manage Relationships.""
2. Review the measures you have created for any potential errors or inconsistencies.
3. Ensure that the column format is set correctly as the ""Fixed Decimal Number"" type.
By examining these aspects, you can address the pre-invoice discount error and resolve the issue.

Check this reference for further details: https://discordapp.com/channels/1090613684163850280/1106513101693669466/1106516289905766433
"
The year column is missing in the P&L check. How can I resolve this issue and obtain the year column?,"Check this reference:
 https://discord.com/channels/1090613684163850280/1111101322406658098/1111137901816848494"
There are missing values in the P&L check. How can I address this issue and handle the missing values appropriately?,"Check this reference:
https://discordapp.com/channels/1090613684163850280/1108980495477395486/1109016973662240848"
How can I rearrange the column order in the P&L check? I would like to change the order of the columns.,"Check this reference:
https://discord.com/channels/1090613684163850280/1112342820930453516/1112399292792062022"
Why is the year 2018 missing or disappeared?,"Check this reference:
https://discordapp.com/channels/1090613684163850280/1111545547426369637/1111563527753318430"
I'm experiencing a flat line in the Line chart of the Finance View. How can I address this issue and ensure the chart displays the expected data correctly?,"Check this reference:
https://discord.com/channels/1090613684163850280/1112243985784774687/1112244353126113302"
"During the process of creating the line chart for forecast accuracy vs month in the Supply Chain View, I encountered an issue with the visual representation.
The problem occurred at the 5:00-minute mark. I selected the year 2021, expecting the graph to display data only from September 2020 to August 2021.
However, instead of the desired timeframe, the chart displayed data from all months between 2017 and 2022.

How to solve and fix this issue?
","Check this reference:
https://discordapp.com/channels/1090613684163850280/1113690341929918505/1113750218618445824"
"It appears that the X-axis of the chart is not starting with the month of September as expected. Instead, it is starting with a different month.
How to solve this?","Check this reference:
https://discordapp.com/channels/1090613684163850280/1112567189724213339/1112596364862423090"
Why we use Net error in place of absolute net error,"Directional Insight: The net error metric offers valuable information regarding the direction of the error in forecasting, distinguishing between positive (overestimation) and negative (underestimation) values. This enables the identification of specific products that consistently outperform or underperform relative to the expected values. Additionally, net error provides insights into the risk factor, indicating if there are instances of stockouts or excessive inventory levels."
"I am encountering an issue where the NIS IND column has the same value in all rows. As a result, I am unable to obtain the correct value for the benchmark variable.
 How can I address this problem and obtain accurate benchmark values?","Have you taken the 'market' column from dim_market? Can you please check again. 

Check this reference for further details: https://discordapp.com/channels/1090613684163850280/1107202294476443789/1107208944931311647"
How do I update source in power query ?,"Follow the discord link : 

 https://discord.com/channels/1090613684163850280/1114113976616353832/1114121330925768754"
How do I enable Power Pivot before using it for the first time ?,"Follow the process in the link : 

https://drive.google.com/file/d/1-mO-v52h-YTY1s-v30liBJPu6Yj4OUxb/view?usp=share_link"
