,name,company,year,Price,kms_driven,fuel_type
78,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel
79,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
80,Ford EcoSport,Ford,2017,489999,39000,Petrol
81,Honda Brio,Honda,2012,224999,30000,Petrol
82,Volkswagen Vento Highline,Volkswagen,2019,1200000,3600,Diesel
83,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol
84,Toyota Corolla Altis,Toyota,2010,351000,38000,Diesel
85,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol
86,Toyota Corolla Altis,Toyota,2009,240000,35000,Petrol
87,Honda City 1.5,Honda,2005,90000,50000,Petrol
88,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol
89,Skoda Fabia 1.2L,Skoda,2011,155000,45863,Diesel
90,BMW 3 Series,BMW,2011,600000,60500,Petrol
91,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol
92,Toyota Etios GD,Toyota,2013,350000,60000,Diesel
93,Ford Figo Diesel,Ford,2012,210000,35000,Diesel
94,Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol
95,Chevrolet Beat LT,Chevrolet,2012,135000,45000,Diesel
96,BMW 7 Series,BMW,2009,1600000,35000,Petrol
97,Mahindra XUV500 W8,Mahindra,2013,701000,38000,Diesel
98,Hyundai i10 Magna,Hyundai,2014,265000,18000,Petrol
99,Hyundai Verna Fluidic,Hyundai,2015,525000,35000,Diesel
100,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
101,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
102,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel
103,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
104,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
105,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol
106,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel
107,Honda Amaze 1.2,Honda,2014,325000,42000,Petrol
108,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
109,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
110,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
111,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
112,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
113,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
114,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
115,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
116,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
117,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel
118,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol
119,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel
120,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol
121,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol
122,Nissan Micra XV,Nissan,2011,179000,41000,Petrol
123,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
124,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol
125,Honda Amaze 1.5,Honda,2013,299000,45000,Diesel
126,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol
127,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol
128,Honda City 1.5,Honda,2010,285000,35000,Petrol
129,Ford EcoSport Trend,Ford,2016,830000,24330,Diesel
130,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol
131,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol
132,Tata Indica V2,Tata,2006,90000,20000,Petrol
133,Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel
134,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol
135,Toyota Corolla Altis,Toyota,2012,349999,59000,Petrol
136,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel
137,Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,Diesel
138,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol
139,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol
140,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel
141,Renault Duster,Renault,2014,449999,50000,Diesel
142,Honda Amaze,Honda,2015,344999,22000,Petrol
143,Nissan Sunny,Nissan,2012,224999,45000,Petrol
144,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol
145,Renault Kwid,Renault,2016,244999,11000,Petrol
146,Renault Duster,Renault,2013,399999,41000,Diesel
147,Ford EcoSport,Ford,2017,489999,39000,Petrol
148,Renault Duster,Renault,2014,474999,50000,Diesel
149,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel
150,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol
151,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol
152,Datsun Redi GO,Datsun,2016,245000,7000,Petrol
153,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel
154,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel
155,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel
156,Toyota Etios GD,Toyota,2013,275000,24800,Petrol
157,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel
158,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol
159,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel
160,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel
161,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel
162,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel
163,Tata Indigo CS,Tata,2011,85000,11400,Diesel
164,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol
165,Honda City 1.5,Honda,2014,549000,39000,Petrol
166,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel
167,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol
168,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
169,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel
170,Honda Brio,Honda,2012,224999,30000,Petrol
171,Ford Fiesta,Ford,2011,274999,55000,Diesel
172,Honda Amaze,Honda,2013,284999,46000,Diesel
173,Honda City,Honda,2015,599999,30000,Diesel
174,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol
175,Honda City,Honda,2014,544999,45000,Diesel
176,Hyundai i20,Hyundai,2009,199000,31000,Petrol
177,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
178,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
179,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
180,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol
181,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
182,Mini Cooper S,Mini,2013,1891111,13000,Petrol
183,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol
184,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol
185,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol
186,Honda City,Honda,2015,448999,54000,Petrol
187,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol
188,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel
189,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel
190,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel
191,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol
192,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol
193,Tata Nano Cx,Tata,2013,40000,2200,Petrol
194,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol
195,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol
196,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol
197,Tata Sumo Victa,Tata,2012,285000,65000,Diesel
198,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol
199,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol
200,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel
201,Renault Scala RxL,Renault,2015,375000,25000,Diesel
202,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
203,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
204,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
205,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
206,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
207,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
208,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
209,Force Motors Force,Force,2015,580000,3200,Diesel
210,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
211,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
212,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
213,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
214,Toyota Etios,Toyota,2011,275000,36000,Diesel
215,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
216,Honda City ZX,Honda,2008,110000,45000,Petrol
217,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol
218,Honda City VX,Honda,2016,519000,52000,Diesel
219,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel
220,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel
221,Audi A4 1.8,Audi,2009,699000,47000,Petrol
222,Mercedes Benz GLA,Mercedes,2015,2000000,20000,Diesel
223,Land Rover Freelander,Land,2015,2100000,30000,Diesel
224,Renault Kwid RXT,Renault,2017,340000,5000,Petrol
225,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel
226,Mercedes Benz B,Mercedes,2014,1400000,31000,Petrol
227,Datsun GO T,Datsun,2016,245000,7000,Petrol
228,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
229,Tata Indigo eCS,Tata,2016,320000,175400,Diesel
230,Honda Jazz VX,Honda,2016,450000,41000,Petrol
231,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol
232,Honda Amaze,Honda,2013,284999,46000,Diesel
233,Honda City,Honda,2012,399999,45000,Petrol
234,Honda City,Honda,2015,599999,39000,Diesel
235,Honda Amaze,Honda,2015,344999,22000,Petrol
236,Audi A4 1.8,Audi,2009,699000,47000,Petrol
237,Force Motors Force,Force,2015,580000,3200,Diesel
238,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
239,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel
240,Mini Cooper S,Mini,2013,1891111,13000,Petrol
241,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol
242,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
243,Honda Amaze,Honda,2013,284999,46000,Diesel
244,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol
245,Tata Sumo Gold,Tata,2013,300000,50000,Diesel
246,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol
247,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol
248,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol
249,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel
250,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
251,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
252,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
253,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
254,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
255,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
256,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
257,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
258,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
259,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol
260,Mini Cooper S,Mini,2013,1891111,13500,Petrol
261,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel
262,Renault Duster 85,Renault,2013,489999,27000,Diesel
263,Renault Duster 85,Renault,2014,489999,59000,Diesel
264,Renault Duster 85,Renault,2015,549999,19000,Diesel
265,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol
266,Renault Kwid RXT,Renault,2018,325000,15000,Petrol
267,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol
268,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol
269,Renault Lodgy 85,Renault,2018,689999,20000,Diesel
270,Renault Scala RxL,Renault,2014,349999,49000,Diesel
271,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol
272,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol
273,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol
274,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
275,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol
276,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
277,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol
278,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
279,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol
280,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol
281,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
282,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel
283,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
284,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel
285,Mini Cooper S,Mini,2013,1891111,13000,Petrol
286,Mini Cooper S,Mini,2013,1891111,13000,Petrol
287,Tata Indica V2,Tata,2008,150000,11000,Petrol
288,Mini Cooper S,Mini,2013,1891111,13000,Petrol
289,Tata Indigo CS,Tata,2009,72500,46000,Diesel
290,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol
291,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel
292,Honda Accord,Honda,2009,175000,58559,Petrol
293,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
294,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
295,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel
296,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
297,Honda Amaze,Honda,2014,299999,37000,Petrol
298,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
299,Honda City,Honda,2011,284999,55000,Petrol
300,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel
301,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
302,Honda City,Honda,2015,644999,39000,Petrol
303,Honda Mobilio,Honda,2014,399999,44000,Petrol
304,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol
305,Honda City,Honda,2014,584999,39000,Petrol
306,Skoda Laura,Skoda,2012,349999,44000,Diesel
307,Renault Duster,Renault,2015,449999,49000,Diesel
308,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
309,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
310,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel
311,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel
312,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel
313,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol
314,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel
315,Honda Amaze,Honda,2014,274999,35000,Petrol
316,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel
317,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel
318,Skoda Laura,Skoda,2013,374999,50000,Diesel
319,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel
320,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol
321,Tata Manza Aura,Tata,2012,130000,72000,Diesel
322,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol
323,Renault Duster 110,Renault,2012,501000,38000,Diesel
324,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel
325,Audi A4 2.0,Audi,2012,1350000,40000,Diesel
326,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
327,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel
328,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel
329,Renault Scala RxL,Renault,2015,375000,25000,Diesel
330,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
331,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
332,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
333,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
334,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
335,Hyundai i20,Hyundai,2014,449999,23000,Petrol
336,Hyundai Eon,Hyundai,2014,174999,14000,Petrol
337,Hyundai i10,Hyundai,2012,244999,38000,Petrol
338,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel
339,Datsun Redi GO,Datsun,2017,244999,22000,Petrol
340,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol
341,Hyundai Accent,Hyundai,2010,99999,45000,Petrol
342,Hyundai Verna,Hyundai,2014,489999,44000,Diesel
343,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
344,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel
345,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol
346,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel
347,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel
348,Honda City 1.5,Honda,2010,240000,400000,Petrol
349,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol
350,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
351,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
352,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel
353,Tata Indigo eCS,Tata,2014,250000,40000,Diesel
354,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
355,Force Motors Force,Force,2015,580000,3200,Diesel
356,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel
357,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel
358,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol
359,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
360,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol
361,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
362,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol
363,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
364,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel
365,Honda City ZX,Honda,2008,149000,42000,Petrol
366,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
367,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel
368,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel
369,Honda City 1.5,Honda,2010,225000,70000,Petrol
370,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol
371,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel
372,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol
373,Toyota Etios,Toyota,2011,275000,36000,Diesel
374,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
375,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
376,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel
377,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol
378,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol
379,Tata Indigo LX,Tata,2016,130000,104000,Diesel
380,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
381,Mercedes Benz C,Mercedes,2002,399000,41000,Petrol
382,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
383,Honda City,Honda,2000,65000,80000,Petrol
384,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol
385,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol
386,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel
387,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol
388,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
389,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol
390,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol
391,Honda Jazz S,Honda,2009,169999,24695,Petrol
392,Hyundai Grand i10,Hyundai,2017,450000,15141,Petrol
393,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol
394,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel
395,Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol
396,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel
397,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel
398,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Petrol
399,Hyundai i20 Magna,Hyundai,2013,310000,35000,Petrol
400,Renault Duster 85,Renault,2015,715000,65000,Diesel
401,Hyundai Grand i10,Hyundai,2014,340000,35000,Petrol
402,Honda Brio V,Honda,2012,235000,33000,Petrol
403,Mahindra TUV300 T4,Mahindra,2017,610000,68000,Diesel
404,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol
405,Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel
406,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel
407,Nissan X Trail,Nissan,2019,1200000,300,Diesel
408,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol
409,Ford Ikon 1.3,Ford,2001,45000,65000,Petrol
410,Toyota Fortuner 3.0,Toyota,2010,940000,131000,Diesel
411,Tata Manza ELAN,Tata,2010,155555,111111,Petrol
412,Mercedes Benz A,Mercedes,2013,1500000,14000,Petrol
413,Chevrolet Beat LS,Chevrolet,2016,210000,22000,Diesel
414,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel
415,Tata Indigo LS,Tata,2016,125000,70000,Diesel
416,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol
417,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel
418,Renault Kwid RXT,Renault,2015,270000,43000,Petrol
419,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel
420,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel
421,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol
422,BMW 5 Series,BMW,2011,1299000,49000,Diesel
423,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol
424,Audi Q3 2.0,Audi,2013,1499000,37000,Diesel
425,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel
