Id,city,age,sex,social_class,primary_business,secondary_business,annual_income,monthly_expenses,old_dependents,young_dependents,home_ownership,type_of_house,occupants_count,house_area,sanitary_availability,water_availabity,loan_purpose,loan_tenure,loan_installments,loan_amount
52,Palakkad,39,F,SC,Banana Cultivation,Others,114000,5200,0,2,1,T1,5,10,1,0.5,Farming/ Agriculture,12,50,7500
53,Palakkad,33,F,OBC,Tailoring,Others,42000,5600,0,3,1,T1,5,10,1,0.5,Apparels,12,50,7500
54,Palakkad,39,F,SC,Petty shop,Others,93600,4000,0,2,1,T1,4,80,1,0.5,Retail Store,12,50,7500
55,Palakkad,41,F,Ezhava,Banana Cultivation,Others,36000,3500,0,0,1,T1,2,60,1,0.5,Farming/ Agriculture,12,50,7500
56,Palakkad,35,F,OBC,Tailoring,Others,0,3200,0,1,1,T1,2,50,1,0.5,Apparels,12,50,7500
57,Palakkad,42,F,SC,Rice business,Others,165600,4000,0,0,1,T1,4,70,1,0.5,Agro Based Businesses,12,50,7500
58,Nuapada,53,F,OBC,Milk business,Daily wage labourer,36000,3000,0,0,1,T1,1,112,1,0.5,Animal husbandry,12,12,5000
59,Palakkad,22,F,OBC,Grocery store,Others,90000,4000,1,0,1,T1,3,100,1,0.5,Agro Based Businesses,12,50,7500
60,Palakkad,21,F,OBC,Tailoring,Others,93600,4200,0,0,1,T1,4,100,1,0.5,Apparels,12,50,7500
61,Nuapada,28,F,OBC,Tiffin center,none,48000,4000,0,3,1,T1,1,112,1,0.5,Eateries,12,12,5000
62,,30,F,OBC,Vegetable vendor,none,95000,5000,0,3,1,T1,5,40,1,0.5,Agro Based Businesses,12,50,7500
63,Nuapada,48,F,OBC,Betel shop,Daily wage labourer,36000,3000,0,0,1,T1,1,110,1,0.5,Tobacco Related Activities,12,12,5000
64,Palakkad,47,F,Muslim,Cow Rearing,Others,0,3300,0,0,1,T1,2,50,1,0.5,Animal husbandry,12,50,7500
65,Nuapada,30,F,SC,General store,Daily wage labourer,42000,3500,0,1,1,T1,1,112,1,0.5,Retail Store,12,12,5000
66,Palakkad,25,F,OBC,Banana Cultivation,Others,42000,2500,1,1,1,T1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
67,Nuapada,51,F,ST,Poultry farm,Daily wage labourer,36000,3000,0,0,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
68,Palakkad,23,F,SC,Tailoring,Others,93600,3500,0,0,1,T1,2,70,1,0.5,Apparels,12,50,7500
69,Nuapada,21,F,ST,Vegetable cultivation,Daily wage labourer,36000,3000,0,0,1,T1,1,112,1,0.5,Farming/ Agriculture,12,12,5000
70,Nuapada,30,F,OBC,Tailoring,Daily wage labourer,36000,3000,0,2,1,T1,1,110,1,0.5,Apparels,12,12,5000
71,Nuapada,21,F,OBC,Vegetable cultivation,Agriculture,48000,4000,0,1,1,T1,1,112,1,0.5,Farming/ Agriculture,12,12,5000
72,Nuapada,46,F,OBC,Poultry farm,Agriculture,36000,3000,0,0,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
73,Nuapada,35,F,OBC,Cycle repair shop,Daily wage labourer,36000,3000,0,1,1,T1,1,112,1,0.5,Repair Services,12,12,5000
74,Nuapada,40,F,ST,Vegetable vendor,Agriculture,40000,4000,0,4,1,T1,1,114,1,0.5,Agro Based Businesses,12,12,5000
75,Nuapada,45,F,OBC,Tailoring,Agriculture,48000,4000,0,0,1,T1,1,110,1,0.5,Apparels,12,12,5000
76,Nuapada,38,F,OBC,Poultry farm,Daily wage labourer,36000,3000,0,2,1,T1,1,1101,1,0.5,Meat Businesses,12,12,5000
77,Nuapada,33,F,ST,Poultry farm,Daily wage labourer,36000,3000,0,2,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
78,Nuapada,21,F,ST,Vegetable vendor,Daily wage labourer,36000,3000,0,1,1,T1,1,110,1,0.5,Agro Based Businesses,12,12,5000
79,Nuapada,44,F,OBC,Vegetable cultivation,Daily wage labourer,3000,3000,0,0,1,T1,1,112,1,0.5,Farming/ Agriculture,12,12,5000
80,Nuapada,44,F,ST,Vegetable cultivation,Daily wage labourer,45000,4000,0,0,1,T1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
81,Nuapada,23,F,OBC,General store,none,60000,5000,0,0,1,T1,1,114,1,0.5,Retail Store,12,12,5000
82,Nuapada,37,F,OBC,Goat rearing,Agriculture,36000,3000,0,0,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
83,Nuapada,26,F,ST,Vegetable cultivation,Daily wage labourer,36000,3000,0,2,1,T1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
84,Nuapada,29,F,OBC,Tiffin center,Daily wage labourer,36000,3000,0,1,1,T1,1,110,1,0.5,Eateries,12,12,5000
85,Palakkad,23,F,SC,Banana Cultivation,Others,48000,3500,0,0,1,T1,2,50,1,0.5,Farming/ Agriculture,12,50,7500
86,Palakkad,28,F,SC,Banana Cultivation,Others,48000,3500,0,1,1,T1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
87,Palakkad,34,F,SC,Banana Cultivation,Others,78000,5000,0,3,1,T1,5,50,1,0.5,Farming/ Agriculture,12,50,7500
88,Palakkad,36,F,OBC,Vegetable cultivation,Others,93600,4000,0,3,1,T1,5,120,1,0.5,Farming/ Agriculture,12,50,7500
89,,38,F,Christian,Banana Cultivation,none,1.00E+05,5000,0,3,1,T1,5,40,1,0.5,Farming/ Agriculture,12,50,7500
90,Palakkad,34,F,SC,Banana Cultivation,Others,48000,4000,0,3,1,T1,5,40,1,0.5,Farming/ Agriculture,12,50,7500
91,Nuapada,23,F,OBC,Vegetable cultivation,Daily wage labourer,36000,3000,0,0,1,T1,1,112,1,0.5,Farming/ Agriculture,12,12,5000
92,,23,F,OBC,Banana Cultivation,none,75000,3000,0,0,1,T1,4,40,1,0.5,Farming/ Agriculture,12,50,7500
93,Palakkad,42,F,Christian,Banana Cultivation,Others,96000,3000,0,0,1,T1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
94,Nuapada,45,F,OBC,Rice business,Agriculture,36000,3000,0,0,1,T1,1,110,1,0.5,Agro Based Businesses,12,12,5000
95,Palakkad,19,F,OBC,Banana Cultivation,Others,96000,3500,0,1,1,T1,5,50,1,0.5,Farming/ Agriculture,12,50,7500
96,Nuapada,54,F,ST,Vegetable cultivation,Daily wage labourer,36000,3000,0,1,1,T1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
97,Palakkad,37,F,SC,Banana Cultivation,Others,36000,3500,0,2,1,T1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
98,Palakkad,40,F,OBC,Banana Cultivation,none,60000,3000,0,0,1,T2,3,80,1,0.5,Farming/ Agriculture,12,50,7500
99,,45,F,OBC,Tailoring,none,95000,5000,0,0,1,T1,4,40,1,0.5,Apparels,12,50,7500
100,Palakkad,46,F,SC,Banana Cultivation,none,72000,2500,0,0,1,T1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
101,,19,F,OBC,Tailoring,none,95000,4000,0,1,1,T1,3,40,1,0.5,Apparels,12,50,7500
102,Palakkad,27,F,OBC,Banana Cultivation,none,36000,4000,0,2,1,T1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
103,,24,F,Muslim,Tailoring,none,95000,4000,0,2,1,T1,4,40,1,0.5,Apparels,12,50,7500
104,Palakkad,38,F,SC,Banana Cultivation,none,48000,3500,0,3,1,T1,5,50,1,0.5,Farming/ Agriculture,12,50,7500
105,,20,F,SC,Tailoring,none,95000,3100,0,0,1,T1,2,40,1,0.5,Apparels,12,50,7500
106,Palakkad,27,F,OBC,Banana Cultivation,none,48000,4500,0,2,1,T1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
107,Palakkad,25,F,OBC,Banana Cultivation,none,72000,3000,0,1,1,T1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
108,,19,F,Muslim,Tailoring,none,66000,4400,0,1,1,T1,4,40,1,0.5,Apparels,12,50,7500
109,Nuapada,44,F,SC,Vegetable vendor,Daily wage labourer,36000,3000,0,3,1,T1,1,112,1,0.5,Agro Based Businesses,12,12,5000
110,Nuapada,48,F,SC,Rice business,Daily wage labourer,60000,4500,0,1,1,T1,2,112,1,0.5,Agro Based Businesses,12,12,5000
111,Nuapada,46,F,OBC,General store,none,36000,3000,0,0,1,T1,1,110,1,0.5,Retail Store,12,12,5000
112,Nuapada,33,F,OBC,Bakery,none,36000,3000,0,0,1,T1,1,110,1,0.5,Eateries,12,12,5000
113,Nuapada,44,F,OBC,Tiffin center,none,36000,3000,0,0,1,T1,1,110,1,0.5,Eateries,12,12,5000
114,Nuapada,29,F,ST,Poultry farm,Daily wage labourer,36000,3000,0,2,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
115,Nuapada,24,F,ST,Vegetable cultivation,none,40000,3200,0,0,1,T1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
116,Nuapada,50,F,SC,Rice business,Daily wage labourer,36000,3000,0,0,1,T1,1,110,1,0.5,Agro Based Businesses,12,12,5000
117,Nuapada,53,F,ST,Goat rearing,Livestock rearing,40000,3200,0,0,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
118,Nuapada,22,F,ST,General store,Daily wage labourer,30000,2500,0,0,1,T1,1,110,1,0.5,Retail Store,12,12,5000
119,Nuapada,28,F,OBC,Poultry farm,Daily wage labourer,36000,3000,0,1,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
120,Nuapada,21,F,ST,Rice business,Daily wage labourer,30000,2500,0,1,1,T1,1,110,1,0.5,Agro Based Businesses,12,12,5000
121,Palakkad,38,F,OBC,Banana Cultivation,none,48000,4000,0,3,1,T1,4,50,1,0.5,Farming/ Agriculture,12,50,7500
122,Palakkad,45,F,OBC,Banana Cultivation,none,96000,3000,0,0,1,R,4,50,1,0.5,Farming/ Agriculture,12,50,7500
123,Nuapada,41,F,OBC,General store,none,60000,5000,0,0,1,T1,2,110,1,0.5,Retail Store,12,12,5000
124,Nuapada,28,F,ST,Goat rearing,Livestock rearing,60000,3000,0,3,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
125,Palakkad,57,F,OBC,Banana Cultivation,none,84000,3000,0,0,1,T1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
126,Nuapada,34,F,OBC,Poultry farm,Livestock rearing,48000,4000,0,2,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
127,Palakkad,32,F,OBC,Banana Cultivation,none,36000,2500,0,1,1,T1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
128,Palakkad,40,F,OBC,Banana Cultivation,none,48000,4000,0,3,1,T1,5,50,1,0.5,Farming/ Agriculture,12,50,7500
129,Nuapada,36,F,OBC,Gram cultivation,none,36000,3000,0,2,1,T1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
130,Palakkad,55,F,Christian,Banana Cultivation,none,48000,3500,0,0,1,T1,2,50,1,0.5,Farming/ Agriculture,12,50,7500
131,Nuapada,26,F,OBC,Vegetable cultivation,Daily wage labourer,60000,5000,0,5,1,T1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
132,Nuapada,21,F,ST,Gram cultivation,Agriculture,30000,2500,0,0,1,T1,1,110,1,0.5,Farming/ Agriculture,12,12,5000
133,Palakkad,30,F,OBC,Banana Cultivation,none,60000,3000,0,1,1,T1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
134,Nuapada,26,F,OBC,Poultry farm,Livestock rearing,36000,3000,0,1,1,T1,1,110,1,0.5,Meat Businesses,12,12,5000
135,Palakkad,49,F,OBC,Banana Cultivation,none,84000,3500,0,0,1,T1,4,40,1,0.5,Farming/ Agriculture,12,50,7500
136,Palakkad,41,F,OBC,Banana Cultivation,none,0,3000,0,1,1,T2,2,50,1,0.5,Farming/ Agriculture,12,50,7500
137,Palakkad,57,F,OBC,Banana Cultivation,none,60000,5000,0,0,1,T1,3,50,1,0.5,Farming/ Agriculture,12,50,7500
138,Puri,36,F,SC,Betel shop,none,24000,2000,0,0,1,T2,1,1400,1,0.5,Tobacco Related Activities,12,12,5000
139,Puri,27,F,OBC,Milk business,none,36000,3000,0,1,1,T2,1,1200,1,0.5,Animal husbandry,12,12,5000
140,Puri,33,F,OBC,Milk business,none,24000,2000,0,1,1,T2,1,1200,1,0.5,Animal husbandry,12,12,5000
141,Puri,44,F,OBC,Milk business,none,24000,2000,0,0,1,T2,1,1000,1,0.5,Animal husbandry,12,12,5000
142,Puri,43,F,OBC,Milk business,none,24000,2000,0,0,1,T2,1,920,1,0.5,Animal husbandry,12,12,5000
143,Puri,35,F,OBC,Milk business,none,24000,2000,0,1,1,T2,1,1000,1,0.5,Animal husbandry,12,12,5000
144,Puri,45,F,OBC,Milk business,none,24000,2000,0,0,1,R,1,1200,1,0.5,Animal husbandry,12,12,5000
145,Puri,40,F,OBC,Milk business,none,24000,2000,0,0,1,R,1,1000,1,0.5,Animal husbandry,12,12,5000
146,Puri,36,F,OBC,Milk business,none,25000,2200,0,2,1,T2,1,3400,1,0.5,Animal husbandry,12,12,5000
147,Puri,37,F,OBC,Milk business,none,36000,3600,0,0,1,R,1,1000,1,0.5,Animal husbandry,12,12,5000
148,Puri,30,M,OBC,Betel shop,none,30000,2000,0,0,1,T2,1,1400,1,0.5,Tobacco Related Activities,12,12,5000
149,Puri,31,M,OBC,Betel shop,none,30000,3000,1,0,1,T2,1,1000,1,0.5,Tobacco Related Activities,12,12,5000
150,Puri,40,M,OBC,Sweets shop,none,24000,2400,1,1,1,T2,1,1000,1,0.5,Eateries,12,12,5000
151,Puri,42,M,OBC,Tiffin center,none,25000,2500,1,1,1,T2,1,1400,1,0.5,Eateries,12,12,5000
152,Dhanbad,47,F,Baniya,Vegetable vendor,none,36000,5000,0,1,0,R,6,50,1,0.5,Agro Based Businesses,12,12,5000
153,Puri,34,M,SC,Betel shop,none,25000,2000,0,1,1,T2,1,1000,1,0.5,Tobacco Related Activities,12,12,5000
154,Dhanbad,36,F,Modi,Tailoring,none,36000,3000,0,5,1,T1,6,50,1,0.5,Apparels,12,12,5000
155,Dhanbad,47,F,Toli,Readymade Garments,none,60000,5000,0,2,1,R,5,60,1,0.5,Apparels,12,12,5000
156,Dhanbad,52,F,Kewat,Fancy Store,none,30000,4500,1,1,1,R,5,50,1,0.5,Retail Store,12,12,5000
157,Dhanbad,22,F,Kusbaha,Tailoring,none,36000,3000,0,2,1,T1,4,40,1,0.5,Apparels,12,12,5000
158,Dhanbad,26,F,Toli,Tailoring,none,48000,5000,0,3,1,R,5,50,1,0.5,Apparels,12,12,5000
159,Dhanbad,40,F,Noli,Beauty salon,none,48000,4000,0,2,1,T1,4,40,1,0.5,Beauty Salon,12,12,5000
160,Pusad,28,F,OBC,Vegetable vendor,none,0,1500,0,1,1,T2,3,40,1,0.5,Agro Based Businesses,12,12,5000
161,Pusad,38,F,SC,Laundry,none,0,3000,0,4,1,T2,6,300,1,0.5,Laundry Services,12,12,5000
162,Pusad,40,F,Muslim,Vegetable vendor,none,0,4000,0,3,1,T2,6,1000,1,0.5,Agro Based Businesses,12,12,7500
163,Pusad,36,F,Muslim,Provision store,none,0,3000,0,2,1,T2,4,600,1,0.5,Retail Store,12,12,7500
164,Pusad,26,F,Muslim,Vegetable vendor,none,0,3000,0,3,1,T2,5,200,1,0.5,Agro Based Businesses,12,12,7500
165,Pusad,35,F,Muslim,Tailoring,none,0,2500,0,3,1,R,5,400,1,0.5,Apparels,12,12,7500
166,Pusad,36,F,Muslim,Snacks business,none,0,3000,0,4,1,T2,6,400,1,0.5,Food Items,12,12,7500
167,Pusad,20,F,OBC,Provision store,none,0,2200,0,0,1,T2,4,300,1,0.5,Retail Store,12,12,5000
168,Pusad,27,F,OBC,Beauty parlour,none,0,2200,0,2,1,T2,4,600,1,0.5,Beauty Salon,12,12,5000
169,Pusad,38,F,OBC,Tailoring,none,0,2700,0,1,1,T2,4,400,1,0.5,Apparels,12,12,5000
170,Yavatmal,35,F,OBC,Tiffin center,none,0,2500,0,2,1,T2,4,3000,1,0.5,Eateries,12,12,5000
171,Mathurapur,25,F,General,Beedi rolling business,none,36000,2900,0,1,1,T2,2,2000,1,0.5,Tobacco Related Activities,12,50,5000
172,Yavatmal,50,F,OBC,Tailoring,none,0,2200,0,0,1,T2,3,600,1,0.5,Apparels,12,12,5000
173,Yavatmal,23,F,OBC,Milk business,none,0,1500,0,1,1,T2,3,500,1,0.5,Animal husbandry,12,12,5000
174,Yavatmal,40,F,OBC,Tailoring,none,0,1700,0,1,1,T1,3,400,1,0.5,Apparels,12,12,5000
175,Yavatmal,40,F,OBC,Tailoring,none,0,3500,0,1,1,R,5,600,1,0.5,Apparels,12,12,5000
176,Yavatmal,25,F,OBC,Beauty parlour,none,0,2000,0,1,1,T2,3,200,1,0.5,Beauty Salon,12,12,5000
177,Yavatmal,40,F,OBC,Tailoring,none,0,2700,0,1,1,T2,4,600,1,0.5,Apparels,12,12,5000
178,Pusad,42,F,OBC,Tiffin center,none,0,1500,0,0,1,T2,2,600,1,0.5,Eateries,12,12,5000
179,Pusad,35,F,OBC,Tailoring,none,0,2500,0,2,1,T2,4,400,1,0.5,Apparels,12,12,5000
180,Pusad,42,F,OBC,Tiffin center,none,0,3500,0,0,1,T2,5,900,1,0.5,Eateries,12,12,5000
181,Pusad,40,F,Muslim,Eggs selling,none,0,2200,0,2,1,T2,4,400,1,0.5,Meat Businesses,12,12,5000
182,Pusad,45,F,OBC,Provision store,none,0,4000,0,0,1,T2,5,600,1,0.5,Retail Store,12,12,5000
183,Pusad,35,F,OBC,Eggs selling,none,0,3200,0,3,1,T2,5,600,1,0.5,Meat Businesses,12,12,5000
184,Pusad,24,F,OBC,Tailoring,none,0,2700,0,2,1,T2,4,300,1,0.5,Apparels,12,12,5000
185,Pusad,40,F,OBC,Snacks business,none,0,2000,0,1,1,T2,3,600,1,0.5,Food Items,12,12,5000
186,Pusad,32,F,SC,Tiffin center,none,0,3000,0,3,1,T2,5,800,1,0.5,Eateries,12,12,5000
187,Pusad,42,F,OBC,Tailoring,none,0,3500,0,1,1,T2,6,400,1,0.5,Apparels,12,12,5000
188,Pusad,23,F,OBC,Medical shop,none,0,2000,0,0,1,T2,2,50,1,0.5,Retail Store,12,12,5000
189,Yavatmal,40,F,OBC,Tailoring,none,0,2800,0,1,1,T2,4,400,1,0.5,Apparels,12,12,5000
190,Mathurapur,45,F,General,Beedi rolling business,none,36000,2800,0,0,1,T2,2,300,1,0.5,Tobacco Related Activities,12,50,5000
191,Mathurapur,45,F,General,Embroidery work,none,30000,2500,0,0,1,T2,2,200,1,0.5,Handicrafts,12,50,5000
192,Mathurapur,29,F,General,Embroidery work,none,30000,2900,0,2,1,T2,2,300,1,0.5,Handicrafts,12,50,5000
193,Pusad,28,F,OBC,Provision store,none,0,2000,0,1,1,T2,3,600,1,0.5,Retail Store,12,12,5000
194,Mathurapur,43,F,General,Embroidery work,none,42000,3000,0,3,1,T2,2,350,1,0.5,Handicrafts,12,50,5000
195,Mathurapur,45,F,General,Embroidery work,none,42000,3000,0,2,1,T2,2,250,1,0.5,Handicrafts,12,50,5000
196,Mathurapur,45,F,General,Embroidery work,none,36000,2800,0,1,1,T2,2,300,1,0.5,Handicrafts,12,50,5000
197,Mathurapur,20,F,General,Embroidery work,none,42000,2400,0,1,1,T2,2,1500,1,0.5,Handicrafts,12,50,5000
198,Gwalior,45,F,OBC,General store,none,0,4000,0,0,1,T1,2,400,1,0.5,Retail Store,12,12,5000
199,Gwalior,43,F,OBC,General store,none,0,3200,0,2,1,R,4,500,1,0.5,Retail Store,12,12,5000
200,Mathurapur,23,F,General,General store,none,36000,2900,0,1,1,T2,2,300,1,0.5,Retail Store,12,50,5000
201,Gwalior,33,F,OBC,Tailoring,none,0,3100,0,2,1,T1,4,250,1,0.5,Apparels,12,12,5000
202,Gwalior,26,F,OBC,Cow Rearing,none,0,2400,0,2,1,T2,4,400,1,0.5,Animal husbandry,12,12,5000
203,Gwalior,43,F,OBC,Tailoring,none,22000,2400,0,2,1,T2,4,250,1,0.5,Apparels,12,12,5000
204,Gwalior,30,F,OBC,Buffalo rearing,none,0,4500,0,2,1,T2,4,600,1,0.5,Animal husbandry,12,12,5000
205,Gwalior,24,F,Shiv Nagar Goli,Tailoring,none,19000,2500,0,2,1,R,4,450,1,0.5,Apparels,12,12,5000
206,Gwalior,30,F,OBC,Buffalo rearing,none,0,2800,0,2,1,T1,4,400,1,0.5,Animal husbandry,12,12,5000
207,Gwalior,31,F,OBC,General store,none,0,3500,0,2,1,T1,4,50,1,0.5,Retail Store,12,12,5000
208,Gwalior,37,F,OBC,General store,none,0,4000,0,2,1,T1,5,600,1,0.5,Retail Store,12,12,5000
209,Gwalior,41,F,Janral,Helmets selling,none,0,3400,0,4,1,T2,6,500,1,0.5,Business Services - I,12,12,5000
210,Gwalior,35,F,Janral,Auto Rickshaw,none,0,4500,0,2,1,R,4,600,1,0.5,Transportation Services,12,12,5000
