,job_A172,job_A173,job_A174,property_A122,property_A123,property_A124,housing_A152,housing_A153,present_emp_since_A72,present_emp_since_A73,present_emp_since_A74,present_emp_since_A75,foreign_worker_A202,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,inst_plans_A142,inst_plans_A143,telephone_A192,checkin_acc_A12,checkin_acc_A13,checkin_acc_A14,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,personal_status_A92,personal_status_A93,personal_status_A94,svaing_acc_A62,svaing_acc_A63,svaing_acc_A64,svaing_acc_A65,other_debtors_A102,other_debtors_A103,age,num_credits,duration,residing_since,inst_rate,dependents,amount
24,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-0.853953800973781,0.8014231902686461,-0.9114769494185678,-1.5336029705731447,-1.022129100524245,-0.4282895663715396,-0.4260731132837622
25,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.025443907017892266,-0.6322497798004878,-1.2439507591645345,-0.8964600663051161,-1.658573123266614,-0.4282895663715396,-0.672529703395736
26,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.31857647634845004,-0.6322497798004878,-1.2439507591645345,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-1.008542427402665
27,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.5530825318128962,0.8014231902686461,-0.7452400445455845,0.3778257422309409,0.25075894496049356,-0.4282895663715396,-1.0144498240975828
28,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.1504356345804424,-0.6322497798004878,-1.133126155915879,-0.8964600663051161,0.25075894496049356,-0.4282895663715396,-0.303435557897267
29,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2.429130975528466,0.8014231902686461,3.2444456724060164,1.0149686464989693,0.25075894496049356,-0.4282895663715396,1.2634423414627511
30,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.025443907017892266,-0.6322497798004878,-0.2465293299266344,0.3778257422309409,0.25075894496049356,-0.4282895663715396,-0.48136634634819353
31,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.7367007732415579,-0.6322497798004878,0.25218138469231566,-0.8964600663051161,-1.022129100524245,-0.4282895663715396,0.26532859588942637
32,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.5021947177771117,0.8014231902686461,-0.2465293299266344,-0.8964600663051161,-1.022129100524245,-0.4282895663715396,0.9196318538185305
33,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1.901492350733462,-0.6322497798004878,-0.7452400445455845,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.7115185215821941
34,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.20906214844655394,-0.6322497798004878,-0.7452400445455845,-1.5336029705731447,0.8872029677028628,-0.4282895663715396,-0.6370853232262288
35,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9125803148398925,0.8014231902686461,2.025375036670805,-0.8964600663051161,0.8872029677028628,-0.4282895663715396,0.5226547959200492
36,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.3849416900448886,-0.6322497798004878,2.247024243168116,0.3778257422309409,-1.658573123266614,-0.4282895663715396,1.0061161414321282
37,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.14269693475011538,-0.6322497798004878,-0.2465293299266344,-0.8964600663051161,0.8872029677028628,-0.4282895663715396,-0.41520350336511325
38,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.14269693475011538,-0.6322497798004878,-0.9114769494185678,-0.8964600663051161,-1.022129100524245,-0.4282895663715396,-0.7252236819144036
39,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.0298333425721158,-0.6322497798004878,-0.9668892510428956,0.3778257422309409,0.8872029677028628,-0.4282895663715396,-0.9972002257484227
40,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.5021947177771117,-0.6322497798004878,0.7508920993112658,-0.8964600663051161,0.8872029677028628,-0.4282895663715396,-0.33249994963626295
41,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.853953800973781,-0.6322497798004878,-0.7452400445455845,-1.5336029705731447,0.25075894496049356,-0.4282895663715396,-0.7490895645618718
42,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.7289620734112309,-0.6322497798004878,-0.2465293299266344,1.0149686464989693,-1.022129100524245,2.334868926348074,1.039433858791465
43,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1.0298333425721158,0.8014231902686461,0.7508920993112658,1.0149686464989693,-1.658573123266614,-0.4282895663715396,1.0335264620965472
44,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.9601188645995735,0.8014231902686461,2.247024243168116,1.0149686464989693,0.8872029677028628,-0.4282895663715396,1.017930934821964
45,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.03318260684821928,0.8014231902686461,-0.8006523461699123,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.6656771232296314
46,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.31857647634845004,-0.6322497798004878,1.2496028139302158,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.34455103889389543
47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1.0884598564382273,-0.6322497798004878,-1.2439507591645345,-0.8964600663051161,-1.658573123266614,-0.4282895663715396,-0.6803274670330277
48,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.31857647634845004,0.8014231902686461,-0.8006523461699123,1.0149686464989693,-1.658573123266614,-0.4282895663715396,1.4023843117272197
49,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-0.6780742593754464,-0.6322497798004878,-0.7452400445455845,-0.8964600663051161,0.8872029677028628,-0.4282895663715396,-0.42465533807698186
50,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.5608212316432233,-0.6322497798004878,0.25218138469231566,-0.8964600663051161,0.8872029677028628,-0.4282895663715396,-0.33249994963626295
51,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.5021947177771117,0.8014231902686461,0.5292428928139546,-0.8964600663051161,-1.658573123266614,-0.4282895663715396,0.9548399381202411
52,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9125803148398925,-0.6322497798004878,-0.7452400445455845,-0.8964600663051161,0.25075894496049356,-0.4282895663715396,-0.7122274091855842
53,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.3849416900448886,-0.6322497798004878,-0.2465293299266344,-1.5336029705731447,-1.022129100524245,-0.4282895663715396,0.03777567520118966
54,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.901492350733462,0.8014231902686461,1.2496028139302158,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.37077988021933084
55,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.853953800973781,-0.6322497798004878,-1.2439507591645345,-0.8964600663051161,-1.658573123266614,2.334868926348074,-0.8818878422636257
56,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.4324802398045695,-0.6322497798004878,-0.7452400445455845,-1.5336029705731447,-1.022129100524245,-0.4282895663715396,1.1330070224389643
57,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.3849416900448886,0.8014231902686461,1.2496028139302158,-0.8964600663051161,-1.022129100524245,-0.4282895663715396,2.2310739200903
58,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.0884598564382273,-0.6322497798004878,-0.2465293299266344,-0.8964600663051161,0.25075894496049356,-0.4282895663715396,-0.46435304386683
59,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1.0884598564382273,0.8014231902686461,1.2496028139302158,1.0149686464989693,0.8872029677028628,-0.4282895663715396,1.0484131017677403
60,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.7367007732415579,-0.6322497798004878,-0.9668892510428956,-1.5336029705731447,-1.022129100524245,-0.4282895663715396,-0.6663860108330215
61,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1.256600698206235,0.8014231902686461,-0.4681785364239456,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.6146372157855409
62,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2.2532514339301315,-0.6322497798004878,1.2496028139302158,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.4671885942803906
63,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.9125803148398925,-0.6322497798004878,2.247024243168116,-0.8964600663051161,-1.022129100524245,-0.4282895663715396,3.9520167252537766
64,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.853953800973781,-0.6322497798004878,0.25218138469231566,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.03193160579884131
65,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1.0807211566079002,5.102442100476048,0.5292428928139546,1.0149686464989693,0.8872029677028628,2.334868926348074,0.6800278438726615
66,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.5608212316432233,-0.6322497798004878,-0.7452400445455845,-0.8964600663051161,-1.022129100524245,-0.4282895663715396,-0.3899198455108647
67,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1.2057128841704503,-0.6322497798004878,-0.7452400445455845,-1.5336029705731447,0.8872029677028628,-0.4282895663715396,-0.8024924306839294
68,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.14269693475011538,-0.6322497798004878,1.2496028139302158,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.5146840637075304
69,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.9125803148398925,-0.6322497798004878,1.2496028139302158,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.3109970256667619
70,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.5021947177771117,-0.6322497798004878,1.2496028139302158,-0.8964600663051161,-1.658573123266614,-0.4282895663715396,1.7232741001951588
71,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.9048416150095656,0.8014231902686461,-1.133126155915879,-0.8964600663051161,0.8872029677028628,-0.4282895663715396,-0.9007915116873629
72,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.373853725938458,0.8014231902686461,-1.0777138542915512,1.0149686464989693,0.25075894496049356,2.334868926348074,-0.7469629017517013
73,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.4944560179467847,0.8014231902686461,1.748313528549166,-1.5336029705731447,-1.022129100524245,-0.4282895663715396,0.950822908367697
74,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.3772029902145616,-0.6322497798004878,1.2496028139302158,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.45868194303970883
75,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.6636370309929123,0.8014231902686461,-0.7452400445455845,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.618654245538085
76,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.1504356345804424,-0.6322497798004878,1.748313528549166,0.3778257422309409,0.8872029677028628,-0.4282895663715396,0.2459523347300957
77,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.373853725938458,-0.6322497798004878,-0.8006523461699123,1.0149686464989693,-1.022129100524245,-0.4282895663715396,0.5316340388963243
78,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.31857647634845004,-0.6322497798004878,2.745734957787066,-0.8964600663051161,-1.022129100524245,2.334868926348074,2.18499622586994
79,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.2057128841704503,-0.6322497798004878,0.7508920993112658,-1.5336029705731447,-1.022129100524245,-0.4282895663715396,0.19869316117075267
80,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.7289620734112309,0.8014231902686461,0.25218138469231566,-1.5336029705731447,-1.658573123266614,-0.4282895663715396,0.9470421744829496
81,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0220946427417887,-0.6322497798004878,-0.4681785364239456,0.3778257422309409,0.8872029677028628,-0.4282895663715396,-0.7294770075347444
82,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,-1.0298333425721158,-0.6322497798004878,-0.2465293299266344,1.0149686464989693,0.25075894496049356,-0.4282895663715396,-0.6037676058668919
83,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.9601188645995735,-0.6322497798004878,0.25218138469231566,1.0149686464989693,0.8872029677028628,-0.4282895663715396,-0.537368467016015
84,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.4324802398045695,-0.6322497798004878,-0.9114769494185678,1.0149686464989693,0.25075894496049356,-0.4282895663715396,-0.3388799380667743
85,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.5608212316432233,0.8014231902686461,-0.7452400445455845,-0.8964600663051161,0.8872029677028628,-0.4282895663715396,-0.6590608389313233
86,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.7367007732415579,0.8014231902686461,-0.2465293299266344,-1.5336029705731447,0.8872029677028628,-0.4282895663715396,-0.7004126157957484
87,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1.0220946427417887,-0.6322497798004878,1.2496028139302158,1.0149686464989693,-1.658573123266614,2.334868926348074,3.310709740053491
