index,SHIPPING_LOCATION,DEPARTMENT,CATEGORY,SUBCATEGORY,BREADCRUMBS,SKU,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRICE_CURRENT,PRODUCT_SIZE,PROMOTION,RunDate,tid
208556,96797,Bakery & Bread,Breakfast Breads,Bagels,Bakery & Bread/Breakfast Breads,149776441,https://www.walmart.com/ip/Sam-s-Choice-Everything-Bagel-15-oz-5-Count/149776441?fulfillmentIntent=Pickup,"Sam's Choice Everything Bagel, 15 oz, 5 Count",Sam's Choice,4.53,4.53,15,,2022-09-11 21:20:04,16372360
219141,48180,Beverages,Tea,Celestial Seasonings,Beverages/Tea,741103808,https://www.walmart.com/ip/Celestial-Seasonings-TeaWell-Organic-Wellness-Herbal-Tea-Immune-Support-Lemongrass-Ginger-12-Ct-Tea-Bags/741103808?fulfillmentIntent=Pickup,"Celestial Seasonings TeaWell Organic Wellness Herbal Tea, Immune Support Lemongrass & Ginger, 12 Ct Tea Bags",Celestial Seasonings,3.44,3.44,12,,2022-09-11 21:20:04,16382945
126811,63376,Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",197623303,https://www.walmart.com/ip/Butterball-All-Natural-Lean-Turkey-Necks-1-lb/197623303?fulfillmentIntent=Pickup,"Butterball All Natural Lean Turkey Necks, 1 lb.",Butterball,4.87,4.87,1,,2022-09-11 21:20:04,16290615
491982,89108,Pantry,"Herbs, spices & seasonings",Shop all,"Pantry/Herbs, spices & seasonings",10292571,https://www.walmart.com/ip/Oven-Fry-Extra-Crispy-Seasoned-Coating-Mix-for-Chicken-4-2-oz-Box/10292571?fulfillmentIntent=Pickup,"Oven Fry Extra Crispy Seasoned Coating Mix for Chicken, 4.2 oz Box",Kraft Oven Fry,3.5,3.5,4.2,,2022-09-11 21:20:04,16655786
102807,60007,Baking,Oils & Shortening,,Baking/Oils & Shortening,10308188,https://www.walmart.com/ip/Crisco-Pure-Canola-Oil-48-fl-oz/10308188?fulfillmentIntent=Pickup,"Crisco Pure Canola Oil, 48 fl oz",Crisco,6.17,6.17,48,,2022-09-11 21:20:04,16266611
544972,75052,Breakfast & Cereal,Breakfast Breads,Toast,Breakfast & Cereal/Breakfast Breads,10533685,https://www.walmart.com/ip/Oroweat-Country-White-Bread-24-oz/10533685?fulfillmentIntent=Pickup,"Oroweat Country White Bread, 24 oz",Oroweat,3.72,3.72,24,,2022-09-11 21:20:04,16708776
19297,60007,Dairy & Eggs,Cheese,,Dairy & Eggs/Cheese,347948505,https://www.walmart.com/ip/Crystal-Farms-Cheese-Wraps-Marble-Jack-6-wraps/347948505?fulfillmentIntent=Pickup,"Crystal Farms Cheese Wraps Marble Jack, 6 wraps",Crystal Farms,3.84,3.84,,,2022-09-11 21:20:04,16183101
271123,45011,Meat & Seafood,Fresh Food,Fresh vegetables,Meat & Seafood/Fresh Food,44391430,https://www.walmart.com/ip/Sweet-Corn-On-The-Cob-Fresh-Corn-1-ea/44391430?fulfillmentIntent=Pickup,"Sweet Corn On The Cob, Fresh Corn, 1 ea",PRODUCE UNBRANDED,0.33,0.33,,,2022-09-11 21:20:04,16434927
394519,60007,Pantry,Condiments,Shop all,Pantry/Condiments,112090733,https://www.walmart.com/ip/Great-Value-Light-Mayonnaise-18-fl-oz/112090733?fulfillmentIntent=Pickup,"Great Value Light Mayonnaise, 18 fl oz",Great Value,2.98,2.98,18,,2022-09-11 21:20:04,16558323
136661,63376,Dairy & Eggs,Cheese,,Dairy & Eggs/Cheese,10295524,https://www.walmart.com/ip/Kraft-Singles-Swiss-Cheese-Slices-16-ct-Pack/10295524?fulfillmentIntent=Pickup&athbdg=L1300,"Kraft Singles Swiss Cheese Slices, 16 ct Pack",Kraft,4.28,3.84,16,,2022-09-11 21:20:04,16300465
78998,30044,Candy,Chocolate,,Candy/Chocolate,381143423,https://www.walmart.com/ip/M-M-s-Snickers-Twix-Milk-Chocolate-Halloween-Candy-55-ct-Bulk-Bag/381143423?fulfillmentIntent=Pickup,"M&M's, Snickers & Twix Milk Chocolate Halloween Candy - 55 ct Bulk Bag",Mixed,10.98,10.98,55,,2022-09-11 21:20:04,16242802
241718,23223,Breakfast & Cereal,Breakfast Beverages,Coffee,Breakfast & Cereal/Breakfast Beverages,314489215,https://www.walmart.com/ip/Starbucks-Vanilla-Flavored-Coffee-K-Cup-Coffee-Pods-Naturally-Flavored-22-ct/314489215?fulfillmentIntent=Pickup,"Starbucks Vanilla Flavored Coffee, K-Cup Coffee Pods, Naturally Flavored, 22 ct",Starbucks,17.48,17.48,22,,2022-09-11 21:20:04,16405522
253429,70072,Bakery & Bread,Cakes & Cupcakes,Cupcakes & Cake Bites,Bakery & Bread/Cakes & Cupcakes,126585509,https://www.walmart.com/ip/Freshness-Guaranteed-White-and-Chocolate-Cupcakes-with-Icing-45-oz-24-Count-Colors-Will-Vary/126585509?fulfillmentIntent=Pickup,"Freshness Guaranteed White and Chocolate Cupcakes with Icing, 45 oz, 24 Count, Colors Will Vary",Freshness Guaranteed,13.28,13.28,45,,2022-09-11 21:20:04,16417233
447690,45011,Pantry,Condiments,Shop all,Pantry/Condiments,52432360,https://www.walmart.com/ip/Marzetti-Seasoned-Baked-Croutons-5-oz/52432360?fulfillmentIntent=Pickup,"Marzetti Seasoned Baked Croutons, 5 oz.",Marzetti,2.18,2.18,5,,2022-09-11 21:20:04,16611494
201520,75211,Candy,Chocolate,,Candy/Chocolate,535127207,https://www.walmart.com/ip/Kinder-Bueno-Milk-Chocolate-Hazelnut-Cream-Candy-Bar-4-Individually-Wrapped-75-oz-Bars-Per-Pack/535127207?fulfillmentIntent=Pickup,"Kinder Bueno Milk Chocolate & Hazelnut Cream Candy Bar, 4 Individually Wrapped .75 oz Bars Per Pack",GENERAL,1.68,1.68,.75,,2022-09-11 21:20:04,16365324
282321,94565,Beverages,Tea,Great Value,Beverages/Tea,734373480,https://www.walmart.com/ip/Great-Value-Sugar-Free-Energy-Electrolyte-Watermelon-Limeade-Drink-Mix-1-1-oz-10-Packet/734373480?fulfillmentIntent=Pickup&athbdg=L1600,"Great Value Sugar-Free Energy Electrolyte Watermelon Limeade Drink Mix, 1.1 oz, 10 Packet",Great Value,1.94,1.94,1.1,,2022-09-11 21:20:04,16446125
229141,48180,Breakfast & Cereal,Dairy & Eggs,Cheese,Breakfast & Cereal/Dairy & Eggs,34186943,https://www.walmart.com/ip/Great-Value-Mild-Cheddar-Cheese-8-oz/34186943?fulfillmentIntent=Pickup,"Great Value Mild Cheddar Cheese, 8 oz",Great Value,2.0,2.0,8,,2022-09-11 21:20:04,16392945
409503,33647,Frozen,Frozen Desserts,Shop all,Frozen/Frozen Desserts,324889788,https://www.walmart.com/ip/Coolhaus-Street-Cart-Churro-Dough-Ice-Cream-Cones-4-25-Ounce-Cones-Pack-3-Chocolate-Chip-Fudge-Coated-Waffle-Cone-Frozen/324889788?fulfillmentIntent=Pickup&athbdg=L1300,"Coolhaus Street Cart Churro Dough Ice Cream Cones, 4.25 Ounce Cones (Pack of 3), Churro Dough and Chocolate Chip Ice Cream in a Chocolate Fudge Coated Waffle Cone (Frozen)",COOLHAUS,6.98,4.98,4.25,,2022-09-11 21:20:04,16573307
374520,79936,Pantry,Condiments,Shop all,Pantry/Condiments,10308152,https://www.walmart.com/ip/Smucker-s-Squeeze-Grape-Jelly-20-Ounces/10308152?fulfillmentIntent=Pickup,"Smucker's Squeeze Grape Jelly, 20 Ounces",Smucker's,2.94,2.94,20,,2022-09-11 21:20:04,16538324
462666,48180,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,899222720,https://www.walmart.com/ip/Totino-s-Pizza-Rolls-Combination-Frozen-Snacks-63-5-oz-130-ct/899222720?fulfillmentIntent=Pickup,"Totino's Pizza Rolls, Combination, Frozen Snacks, 63.5 oz, 130 ct",Totino's,11.98,11.98,63.5,,2022-09-11 21:20:04,16626470
477309,75211,Pantry,Packaged meals & side dishes,Shop all,Pantry/Packaged meals & side dishes,21467389,https://www.walmart.com/ip/Betty-Crocker-Suddenly-Creamy-Parmesan-Pasta-Salad-Mix-6-2-oz/21467389?fulfillmentIntent=Pickup,"Betty Crocker Suddenly Creamy Parmesan Pasta Salad Mix, 6.2 oz",Suddenly Salad,1.98,1.98,6.2,,2022-09-11 21:20:04,16641113
132574,72034,Dairy & Eggs,Cheese,,Dairy & Eggs/Cheese,10452422,https://www.walmart.com/ip/Great-Value-Singles-American-Pasteurized-Prepared-Cheese-Product-16-count-12-oz/10452422?fulfillmentIntent=Pickup,"Great Value Singles American Pasteurized Prepared Cheese Product, 16 count, 12 oz",Great Value,1.98,1.98,12,,2022-09-11 21:20:04,16296378
62192,75052,Deli,Fresh Soups & Salads,,Deli/Fresh Soups & Salads,165223637,https://www.walmart.com/ip/Taylor-Farms-Caesar-Salad-with-Chicken-Bacon-5-75-oz-Deli-Salad-Bowl/165223637?fulfillmentIntent=Pickup,"Taylor Farms Caesar Salad with Chicken & Bacon, 5.75 oz (Deli Salad Bowl)",Taylor Farms,3.47,3.47,5.75,,2022-09-11 21:20:04,16225996
431919,85225,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,129551043,https://www.walmart.com/ip/GOYA-Taquitos-Chicken-20-Ct-1lb-5oz/129551043?fulfillmentIntent=Pickup,GOYA Taquitos Chicken  20 Ct. 1lb 5oz,GOYA,9.74,9.74,5,,2022-09-11 21:20:04,16595723
538720,63376,Breakfast & Cereal,Dairy & Eggs,Yogurt,Breakfast & Cereal/Dairy & Eggs,45595080,https://www.walmart.com/ip/Oikos-Triple-Zero-Vanilla-Greek-Yogurt-5-3-Oz/45595080?fulfillmentIntent=Pickup,"Oikos Triple Zero Vanilla Greek Yogurt, 5.3 Oz.",Dannon,1.06,1.06,5.3,,2022-09-11 21:20:04,16702524
183933,48180,Snacks,Crackers,,Snacks/Crackers,547251543,https://www.walmart.com/ip/Handi-Snacks-RITZ-Crackers-N-Cheesy-Dip-Snack-Packs-12-Snack-Packs/547251543?fulfillmentIntent=Pickup,"Handi-Snacks RITZ Crackers 'N Cheesy Dip Snack Packs, 12 Snack Packs",Handi-Snacks,6.48,6.48,,,2022-09-11 21:20:04,16347737
98521,44035,Baking,Easy to make,,Baking/Easy to make,916894752,https://www.walmart.com/ip/Diamond-of-California-Chocolate-Nut-Pie-Crust-6oz/916894752?fulfillmentIntent=Pickup,"Diamond of California Chocolate Nut Pie Crust, 6oz",Diamond,3.48,3.48,6,,2022-09-11 21:20:04,16262325
406901,33647,Pantry,Packaged meals & side dishes,Shop all,Pantry/Packaged meals & side dishes,20897545,https://www.walmart.com/ip/Velveeta-Skillets-Chicken-Alfredo-Dinner-Kit-12-5-oz-Box/20897545?fulfillmentIntent=Pickup,"Velveeta Skillets Chicken Alfredo Dinner Kit, 12.5 oz Box",Velveeta,3.38,3.38,12.5,,2022-09-11 21:20:04,16570705
315597,30044,Meat & Seafood,Fresh Food,Prepared meals & sides,Meat & Seafood/Fresh Food,102781135,https://www.walmart.com/ip/LLOYD-S-Signature-Smoked-Baby-Back-Pork-Ribs-in-BBQ-Sauce-40-oz/102781135?fulfillmentIntent=Pickup,"LLOYD'S Signature Smoked Baby Back Pork Ribs in BBQ Sauce, 40 oz",Lloyd's,16.0,16.0,40,,2022-09-11 21:20:04,16479401
138887,85225,Snacks,Fruit Snacks,,Snacks/Fruit Snacks,10534211,https://www.walmart.com/ip/Great-Value-Steak-Cut-French-Fried-Potatoes-28-oz/10534211?fulfillmentIntent=Pickup,"Great Value Steak Cut French Fried Potatoes, 28 oz",Great Value,1.98,1.98,28,,2022-09-11 21:20:04,16302691
409427,33647,Frozen,Frozen Desserts,Shop all,Frozen/Frozen Desserts,998687271,https://www.walmart.com/ip/Breyers-Ice-Cream-Double-Chocolate-Brownie-Batter-1-5-QT/998687271?fulfillmentIntent=Pickup,Breyers Ice Cream Double Chocolate Brownie Batter 1.5 QT,Breyers,4.48,4.48,,,2022-09-11 21:20:04,16573231
133017,23111,Beverages,Great Value Beverages,,Beverages/Great Value Beverages,225235157,https://www.walmart.com/ip/Great-Value-Sugar-Free-Electrolyte-Mixed-Berries-Drink-Mix-0-85-Oz-10-Count/225235157?fulfillmentIntent=Pickup,"Great Value Sugar-Free Electrolyte Mixed Berries Drink Mix, 0.85 Oz., 10 Count",Great Value,1.94,1.94,0.85,,2022-09-11 21:20:04,16296821
308040,77449,Breakfast & Cereal,Muffins & Pastries,Pastries,Breakfast & Cereal/Muffins & Pastries,531106116,https://www.walmart.com/ip/Marketside-Cinnamon-Rolls-16-oz-4-Count/531106116?fulfillmentIntent=Pickup,"Marketside Cinnamon Rolls, 16 oz, 4 Count",Marketside,4.98,4.98,16,,2022-09-11 21:20:04,16471844
207689,30044,Breakfast & Cereal,Breakfast Breads,Bagels,Breakfast & Cereal/Breakfast Breads,190193497,https://www.walmart.com/ip/Sam-s-Choice-Pre-Sliced-Double-Cheese-Please-Bagel-15-oz-5-Count/190193497?fulfillmentIntent=Pickup,"Sam's Choice Pre-Sliced Double Cheese Please Bagel, 15 oz, 5 Count",Sam's Choice,3.38,3.38,15,,2022-09-11 21:20:04,16371493
143026,53215,Deli,Prepared Meals & Sides,,Deli/Prepared Meals & Sides,876103155,https://www.walmart.com/ip/Lloyd-s-Pecanwood-Smoked-Seasoned-Pulled-Pork-with-Pig-Beach-BBQ-Sauce-16-oz-Refrigerated/876103155?fulfillmentIntent=Pickup,"Lloyd's Pecanwood Smoked & Seasoned Pulled Pork with Pig Beach BBQ Sauce, 16 oz (Refrigerated)",Lloyd's,6.88,6.88,16,,2022-09-11 21:20:04,16306830
164498,70072,Candy,Halloween candy,,Candy/Halloween candy,774262507,https://www.walmart.com/ip/Franken-Favorites-Halloween-Candy-Variety-Bag-SweeTarts-Trolli-Laffy-Taffy-Nerds-18-78-oz-50-Count/774262507?fulfillmentIntent=Pickup,"Franken Favorites Halloween Candy Variety Bag, SweeTarts, Trolli, Laffy Taffy, Nerds, 18.78 oz (50 Count)",SweeTarts,5.98,5.98,18.78,,2022-09-11 21:20:04,16328302
272025,70072,Meat & Seafood,Fresh Food,Fresh vegetables,Meat & Seafood/Fresh Food,738901619,https://www.walmart.com/ip/Fresh-Organic-Yellow-Squash-2-Count/738901619?fulfillmentIntent=Pickup,"Fresh Organic Yellow Squash, 2 Count",Marketside,2.96,2.96,,,2022-09-11 21:20:04,16435829
198049,48180,Beverages,Sports Drinks,,Beverages/Sports Drinks,460918898,https://www.walmart.com/ip/Gatorade-G-Zero-Sugar-Cool-Blue-Thirst-Quencher-Sports-Drink-12-oz-12-Pack-Bottles/460918898?fulfillmentIntent=Pickup,"Gatorade G Zero Sugar Cool Blue Thirst Quencher Sports Drink, 12 oz, 12 Pack Bottles",Gatorade,6.98,6.98,12,,2022-09-11 21:20:04,16361853
530902,85225,Meat & Seafood,Fresh Food,Specialty cheeses & meats,Meat & Seafood/Fresh Food,21804993,https://www.walmart.com/ip/President-Cheese-Pub-Cheese-Cheddar-Horseradish-Spreadable-Cheese-8-oz/21804993?fulfillmentIntent=Pickup,"President Cheese Pub Cheese Cheddar & Horseradish Spreadable Cheese, 8 oz",President Cheese,4.27,4.27,8,,2022-09-11 21:20:04,16694706
269548,63376,Meat & Seafood,Fresh Food,Fresh bakery breads,Meat & Seafood/Fresh Food,381051003,https://www.walmart.com/ip/Freshness-Guaranteed-Garlic-Bread-16-oz/381051003?fulfillmentIntent=Pickup,"Freshness Guaranteed Garlic Bread, 16 oz",The Bakery,2.48,2.48,16,,2022-09-11 21:20:04,16433352
91133,78130,Beverages,Great Value Beverages,,Beverages/Great Value Beverages,885009150,https://www.walmart.com/ip/Great-Value-18-Year-LED-Light-Bulbs-A19-40-Watts-Equivalent-5-Watts-Efficient-Dimmable-Daylight-Clear-Glass-4-Pack/885009150?fulfillmentIntent=Pickup,"Great Value 18 Year LED Light Bulbs, A19 40 Watts Equivalent, 5 Watts Efficient, Dimmable, Daylight, Clear Glass, 4 Pack",Great Value,8.97,8.97,,,2022-09-11 21:20:04,16254937
379078,23111,Pantry,Condiments,Shop all,Pantry/Condiments,52563212,https://www.walmart.com/ip/Busy-Bee-Dakota-Clover-Squeezable-Honey-32-oz-Plastic-Bottle/52563212?fulfillmentIntent=Pickup,"Busy Bee Dakota Clover Squeezable Honey, 32 oz Plastic Bottle",Busy Bee,15.07,15.07,32,,2022-09-11 21:20:04,16542882
13637,48180,Beverages,Great Value Beverages,,Beverages/Great Value Beverages,492764601,https://www.walmart.com/ip/Great-Value-Caramel-Almond-Coffee-Creamer-16-fl-oz/492764601?fulfillmentIntent=Pickup,"Great Value Caramel Almond Coffee Creamer, 16 fl oz",Great Value,2.18,2.18,16,,2022-09-11 21:20:04,16177441
210549,33012,Breakfast & Cereal,Breakfast Meats,Bacon,Breakfast & Cereal/Breakfast Meats,10453036,https://www.walmart.com/ip/Smithfield-Hometown-Original-Bacon-16-oz/10453036?fulfillmentIntent=Pickup,"Smithfield Hometown Original Bacon, 16 oz",Smithfield,6.72,6.72,16,,2022-09-11 21:20:04,16374353
33511,63376,Candy,Chocolate,,Candy/Chocolate,145561719,https://www.walmart.com/ip/M-M-s-Peanut-Milk-Chocolate-Candy-Sharing-Size-10-7-oz-Bag/145561719?fulfillmentIntent=Pickup,M&M's Peanut Milk Chocolate Candy Sharing Size - 10.7 oz Bag,M&M'S,4.48,4.48,10.7,,2022-09-11 21:20:04,16197315
402268,44035,Pantry,Canned goods,Shop all,Pantry/Canned goods,10306788,https://www.walmart.com/ip/Bush-s-Dark-Red-Kidney-Beans-Canned-Beans-16-oz/10306788?fulfillmentIntent=Pickup,"Bush's Dark Red Kidney Beans, Canned Beans, 16 oz",BUSH'S,1.28,1.28,16,,2022-09-11 21:20:04,16566072
90810,15601,Beverages,Sports Drinks,,Beverages/Sports Drinks,45152390,https://www.walmart.com/ip/Premier-Protein-Shake-Strawberries-Cream-30g-Protein-11-Fl-Oz-4-Ct/45152390?fulfillmentIntent=Pickup,"Premier Protein Shake, Strawberries & Cream, 30g Protein, 11 Fl Oz, 4 Ct",Premier Protein,7.98,7.98,11,,2022-09-11 21:20:04,16254614
376454,15601,Breakfast & Cereal,Frozen Breakfast,Shop All,Breakfast & Cereal/Frozen Breakfast,37560406,https://www.walmart.com/ip/El-Monterey-Signature-Egg-Applewood-Smoked-Bacon-Cheese-Burritos-54-oz-12-Ct-Frozen/37560406?fulfillmentIntent=Pickup,"El Monterey Signature Egg, Applewood Smoked Bacon & Cheese Burritos, 54 oz, 12 Ct (Frozen)",El Monterey,14.72,14.72,54,,2022-09-11 21:20:04,16540258
275543,23223,Bakery & Bread,"Donuts, Muffins & Pastries",Fresh Baked Donuts,"Bakery & Bread/Donuts, Muffins & Pastries",493261067,https://www.walmart.com/ip/Freshness-Guaranteed-Vanilla-Iced-Donuts-2-Count/493261067?fulfillmentIntent=Pickup,"Freshness Guaranteed Vanilla Iced Donuts, 2 Count",Freshness Guaranteed,1.46,1.46,,,2022-09-11 21:20:04,16439347
439003,70072,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,819812770,https://www.walmart.com/ip/Scott-Jon-s-Broccoli-Cheddar-Mac-Frozen-Meal-8oz/819812770?fulfillmentIntent=Pickup,"Scott & Jon's Broccoli Cheddar Mac, Frozen Meal, 8oz",Scott & Jon's,3.88,3.88,8,,2022-09-11 21:20:04,16602807
142394,63376,Dairy & Eggs,Butter & Margarine,,Dairy & Eggs/Butter & Margarine,45956707,https://www.walmart.com/ip/Land-O-Lakes-Butter-with-Olive-Oil-and-Sea-Salt-13-oz/45956707?fulfillmentIntent=Pickup,"Land O Lakes Butter with Olive Oil and Sea Salt, 13 oz",Land O'Lakes,3.98,3.98,13,,2022-09-11 21:20:04,16306198
125904,72034,Deli,"Hummus, Dips, & Salsa",,"Deli/Hummus, Dips, & Salsa",523209999,https://www.walmart.com/ip/Marketside-Bacon-Ranch-Cheddar-Dip-16-oz/523209999?fulfillmentIntent=Pickup,"Marketside Bacon Ranch Cheddar Dip, 16 oz",Marketside,5.54,5.54,16,,2022-09-11 21:20:04,16289708
324094,66062,Frozen,Frozen Meat & Seafood,Shop all,Frozen/Frozen Meat & Seafood,15580491,https://www.walmart.com/ip/Jimmy-Dean-Original-Pancakes-Sausage-on-a-Stick-30-oz-12-Ct-Frozen/15580491?fulfillmentIntent=Pickup,"Jimmy Dean Original Pancakes & Sausage on a Stick, 30 oz, 12 Ct (Frozen)",Jimmy Dean,9.64,9.64,30,,2022-09-11 21:20:04,16487898
316578,23223,Meat & Seafood,Fresh Food,Prepared meals & sides,Meat & Seafood/Fresh Food,10312194,https://www.walmart.com/ip/John-Soules-Foods-Fire-Grilled-Chicken-Fajitas-Strips-8-oz-Pack-of-1/10312194?fulfillmentIntent=Pickup,"John Soules Foods Fire Grilled Chicken Fajitas Strips, 8 oz, Pack of 1",John Soules Foods,4.88,3.98,8,,2022-09-11 21:20:04,16480382
12751,23111,Dairy & Eggs,Milk,,Dairy & Eggs/Milk,344972624,https://www.walmart.com/ip/Stonyfield-Farm-2-Reduced-Fat-Organic-Milk-8-Fl-Oz-6-Ct/344972624?fulfillmentIntent=Pickup,"Stonyfield Farm 2% Reduced Fat Organic Milk, 8 Fl Oz, 6 Ct",Stonyfield Farm,6.48,6.48,8,,2022-09-11 21:20:04,16176555
467978,48180,Pantry,Condiments,Shop all,Pantry/Condiments,51259367,https://www.walmart.com/ip/Salad-Pizazz-Dried-Cherry-Flavored-Cranberries-Honey-Roasted-Pecans-3-75-oz/51259367?fulfillmentIntent=Pickup,"Salad Pizazz! Dried Cherry Flavored Cranberries & Honey Roasted Pecans, 3.75 oz",Salad Pizazz!,2.98,2.98,3.75,,2022-09-11 21:20:04,16631782
25077,75211,Beverages,Great Value Beverages,,Beverages/Great Value Beverages,458121900,https://www.walmart.com/ip/Great-Value-Energy-Blend-100-Juice-32-fl-oz/458121900?fulfillmentIntent=Pickup,"Great Value Energy Blend 100% Juice, 32 fl oz",Great Value,3.12,3.12,32,,2022-09-11 21:20:04,16188881
508865,72034,Pantry,Packaged meals & side dishes,Shop all,Pantry/Packaged meals & side dishes,36916364,https://www.walmart.com/ip/Zatarain-s-Jambalaya-Reduced-Sodium-Family-Size-12-oz/36916364?fulfillmentIntent=Pickup&athbdg=L1600,"Zatarain's Jambalaya - Reduced Sodium Family Size, 12 oz",Zatarain's,2.37,2.37,12,,2022-09-11 21:20:04,16672669
120321,23223,Beverages,Energy Drinks,,Beverages/Energy Drinks,12018772,https://www.walmart.com/ip/Red-Bull-Energy-Drink-12-Fl-Oz/12018772?fulfillmentIntent=Pickup,"Red Bull Energy Drink, 12 Fl Oz",Red Bull,2.68,2.68,12,,2022-09-11 21:20:04,16284125
