2022-07-20/10:41:36		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:17		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:19		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:20		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:22		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:24		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:26		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:27		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:29		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:31		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:33		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:34		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:36		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:38		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:40		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:42		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:43		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:45		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:47		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:49		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:50		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:52		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:54		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:55		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:57		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:44:59		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:01		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:03		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:04		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:06		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:08		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:10		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:11		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:13		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:15		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:16		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:18		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:20		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:22		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:23		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:25		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:27		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:29		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:30		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:32		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:34		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:36		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:37		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:39		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:41		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:42		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:44		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:46		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:47		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:49		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:51		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:53		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:54		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:56		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:45:58		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:00		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:02		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:04		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:06		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:07		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:09		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:11		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:12		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:14		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:16		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:17		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:19		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:21		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:22		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:24		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:26		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:28		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:29		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:31		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:33		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:35		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:36		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:38		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:40		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:42		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:43		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:45		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:47		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:49		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:50		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:52		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:54		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:56		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:57		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:46:59		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:01		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:02		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:04		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:06		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:07		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:09		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:11		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:12		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:14		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:15		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:17		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:19		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:21		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:22		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:24		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:26		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:27		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:29		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:31		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:32		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:34		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:36		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:38		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:39		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:41		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:42		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:44		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:46		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:48		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:50		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:51		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:53		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:55		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:56		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:47:58		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:00		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:02		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:04		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:05		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:07		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:09		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:11		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:12		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:14		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:16		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:18		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:19		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:21		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:23		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:25		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:27		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:29		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:30		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:32		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:34		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:35		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:37		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:39		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:41		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:42		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:44		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:46		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:48		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:49		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:51		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:53		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:55		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:57		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:48:58		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:00		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:02		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:03		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:05		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:07		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:08		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:10		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:12		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:15		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:16		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:18		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:20		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:21		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:23		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:25		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:27		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:28		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:30		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:32		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:33		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:35		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:37		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:39		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:40		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:42		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:44		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:46		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:48		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:49		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:51		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:53		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:55		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:56		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:49:58		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:00		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:01		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:03		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:05		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:07		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:08		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:10		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:12		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:14		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:15		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:17		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:19		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:21		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:23		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:24		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:26		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:28		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:30		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:31		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:33		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:35		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:37		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:38		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:40		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:42		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:43		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:45		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:47		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:49		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:51		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:52		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:54		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:56		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:58		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:50:59		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:01		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:03		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:05		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:06		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:08		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:10		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:12		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:13		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:15		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:17		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:18		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:21		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:22		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:24		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:26		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:27		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:29		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:31		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:33		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:34		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:36		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:38		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:40		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:42		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:43		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:46		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:48		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:50		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:51		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:53		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:55		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:57		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:51:58		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:00		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:02		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:04		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:06		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:07		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:09		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:11		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:13		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:14		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:16		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:18		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:19		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:21		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:23		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:24		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:26		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:28		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:30		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:31		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:33		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:35		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:37		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:39		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:41		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:42		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:44		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:46		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:48		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:49		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:51		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:53		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:55		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:57		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:52:58		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:00		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:02		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:04		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:05		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:07		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:09		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:10		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:12		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:14		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:16		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:17		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:19		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:21		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:22		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:24		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:26		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:28		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:29		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:31		 raw_data.csv: Entry loaded successfully!!
2022-07-20/10:53:33		 raw_data.csv: Entry loaded successfully!!
